hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 27774.8, -0.0748234, 27780.1, -120.083, 27774.7, 119.912, 0, 0, 4.06787, -22.6095, 4.16105, -134.026, 4.63688, 100.731, 0, 0
2, 0.00000, 27728.2, -0.0697245, 27732.1, -120.08, 27726.4, 119.919, 0, 0, 3.73583, -21.1598, 3.99872, -133.404, 4.31697, 99.8202, 0, 0
3, 0.00000, 27777.2, -0.06858, 27778.7, -120.073, 27776.6, 119.927, 0, 0, 3.6011, -18.5336, 3.71401, -135.339, 3.83394, 101.626, 0, 0
4, 0.00000, 27741.2, -0.0603033, 27739.5, -120.061, 27740.4, 119.942, 0, 0, 3.07007, -14.2693, 3.1385, -136.953, 2.97812, 103.234, 0, 0
5, 0.00000, 27822.7, -0.0563217, 27820, -120.057, 27821.5, 119.948, 0, 0, 2.8803, -14.4385, 2.98538, -139.067, 2.72692, 101.292, 0, 0
6, 0.00000, 27731.4, -0.0487833, 27730.6, -120.054, 27729.4, 119.95, 0, 0, 2.52757, -16.6658, 2.74529, -136.556, 2.64752, 99.3075, 0, 0
7, 0.00000, 27694.9, -0.048642, 27694.4, -120.051, 27694.3, 119.951, 0, 0, 2.53144, -17.4431, 2.60682, -137.79, 2.55651, 100.918, 0, 0
8, 0.00000, 27716.2, -0.0484021, 27715.8, -120.054, 27714.4, 119.95, 0, 0, 2.52242, -17.5181, 2.7263, -136.426, 2.67335, 99.2623, 0, 0
9, 0.00000, 27630.7, -0.0488772, 27631.2, -120.049, 27631.6, 119.951, 0, 0, 2.54813, -17.9834, 2.48141, -137.38, 2.53833, 103.619, 0, 0
10, 0.00000, 27561.8, -0.0523785, 27564.9, -120.056, 27562.3, 119.94, 0, 0, 2.81383, -21.9035, 2.81577, -134.973, 3.10434, 101.532, 0, 0
11, 0.00000, 27619.7, -0.0623001, 27624.5, -120.067, 27620.8, 119.927, 0, 0, 3.41089, -23.7986, 3.36029, -135.396, 3.80632, 101.032, 0, 0
12, 0.00000, 27567, -0.0659417, 27572.2, -120.069, 27568.7, 119.923, 0, 0, 3.53165, -21.7236, 3.44635, -133.286, 3.92474, 103.525, 0, 0
13, 0.00000, 27574.8, -0.060873, 27580.4, -120.064, 27577, 119.928, 0, 0, 3.25433, -21.4367, 3.13398, -131.743, 3.65153, 104.96, 0, 0
14, 0.00000, 27513.9, -0.0592726, 27516.4, -120.06, 27515.3, 119.936, 0, 0, 3.14434, -20.7933, 3.04898, -136.636, 3.29017, 102.693, 0, 0
15, 0.00000, 27482.7, -0.0560418, 27488.2, -120.062, 27483.4, 119.931, 0, 0, 3.07272, -24.3658, 3.0816, -133.194, 3.58134, 101.105, 0, 0
16, 0.00000, 27431.7, -0.058273, 27436.7, -120.061, 27433.6, 119.932, 0, 0, 3.15325, -23.2549, 3.03318, -134.3, 3.50341, 102.841, 0, 0
17, 0.00000, 27393.8, -0.0646771, 27396.5, -120.06, 27397.6, 119.933, 0, 0, 3.39648, -20.1939, 3.06108, -137.783, 3.35801, 105.913, 0, 0
18, 0.00000, 27546.4, -0.0647379, 27547.4, -120.061, 27548.9, 119.935, 0, 0, 3.35915, -18.0339, 3.13573, -137.792, 3.26505, 105.481, 0, 0
19, 0.00000, 27542.6, -0.057761, 27547.9, -120.057, 27545.9, 119.933, 0, 0, 3.13574, -23.1683, 2.86666, -134.642, 3.38665, 104.86, 0, 0
20, 0.00000, 27547, -0.055485, 27553.5, -120.058, 27549.9, 119.932, 0, 0, 3.03657, -23.9429, 2.83825, -132.096, 3.45052, 104.648, 0, 0
21, 0.00000, 27698.1, -0.0550399, 27702.7, -120.058, 27699.7, 119.935, 0, 0, 2.93621, -20.6097, 2.86687, -131.53, 3.29074, 104.925, 0, 0
22, 0.00000, 27682.7, -0.0600178, 27686.6, -120.066, 27682.7, 119.93, 0, 0, 3.1697, -19.5611, 3.25704, -131.571, 3.59406, 103.279, 0, 0
23, 0.00000, 27809.2, -0.0725576, 27812.8, -120.072, 27811.9, 119.922, 0, 0, 3.86262, -20.1078, 3.64628, -135.761, 4.00257, 104.688, 0, 0
24, 0.00000, 27803.3, -0.0814897, 27808.3, -120.075, 27809, 119.913, 0, 0, 4.40996, -22.0551, 3.89189, -137.977, 4.42596, 105.679, 0, 0
